# Time,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
0.000000000000000000e+00,-2.296490783691406250e+02,2.401631164550781250e+02,2.401631164550781250e+02,1.178822293877601624e-01,-1.036071702837944031e-01,1.489968417445197701e-04,1.391221523284912109e+01,-2.518609166145324707e-02,-5.406569016486173496e-06,-2.135926783084869385e-01,-5.124589079059660435e-04,-1.741556116030551493e-05,-7.722250302322208881e-04,-6.182812899351119995e-02,-3.446144051849842072e-03,5.000000000000000000e-01,-1.425892151019070297e-05,0.000000000000000000e+00
1.045818328857421875e-01,-2.296490783691406250e+02,2.401631164550781250e+02,2.401631164550781250e+02,1.178822293877601624e-01,-1.036071702837944031e-01,1.489968417445197701e-04,1.391221523284912109e+01,-2.518609166145324707e-02,-5.406569016486173496e-06,-2.135926783084869385e-01,-5.124589079059660435e-04,-1.741556116030551493e-05,-7.722250302322208881e-04,-6.182812899351119995e-02,-3.446144051849842072e-03,5.000000000000000000e-01,-1.425892151019070297e-05,0.000000000000000000e+00
1.045818328857421875e-01,-2.296490783691406250e+02,2.401631164550781250e+02,2.401631164550781250e+02,1.178822293877601624e-01,-1.036071702837944031e-01,1.489968417445197701e-04,1.391221523284912109e+01,-2.518609166145324707e-02,-5.406569016486173496e-06,-2.135926783084869385e-01,-5.124589079059660435e-04,-1.741556116030551493e-05,-7.722250302322208881e-04,-6.182812899351119995e-02,-3.446144051849842072e-03,5.000000000000000000e-01,-1.425892151019070297e-05,0.000000000000000000e+00
1.045818328857421875e-01,-2.296490783691406250e+02,2.401631164550781250e+02,2.401631164550781250e+02,1.178822293877601624e-01,-1.036071702837944031e-01,1.489968417445197701e-04,1.391221523284912109e+01,-2.518609166145324707e-02,-5.406569016486173496e-06,-2.135926783084869385e-01,-5.124589079059660435e-04,-1.741556116030551493e-05,-7.722250302322208881e-04,-6.182812899351119995e-02,-3.446144051849842072e-03,5.000000000000000000e-01,-1.425892151019070297e-05,0.000000000000000000e+00
1.045818328857421875e-01,-2.296490783691406250e+02,2.401631164550781250e+02,2.401631164550781250e+02,1.178822293877601624e-01,-1.036071702837944031e-01,1.489968417445197701e-04,1.391221523284912109e+01,-2.518609166145324707e-02,-5.406569016486173496e-06,-2.135926783084869385e-01,-5.124589079059660435e-04,-1.741556116030551493e-05,-7.722250302322208881e-04,-6.182812899351119995e-02,-3.446144051849842072e-03,5.000000000000000000e-01,-1.425892151019070297e-05,0.000000000000000000e+00
1.045818328857421875e-01,-2.296490783691406250e+02,2.401631164550781250e+02,2.401631164550781250e+02,1.178822293877601624e-01,-1.036071702837944031e-01,1.489968417445197701e-04,1.391221523284912109e+01,-2.518609166145324707e-02,-5.406569016486173496e-06,-2.135926783084869385e-01,-5.124589079059660435e-04,-1.741556116030551493e-05,-7.722250302322208881e-04,-6.182812899351119995e-02,-3.446144051849842072e-03,5.000000000000000000e-01,-1.425892151019070297e-05,0.000000000000000000e+00
1.045818328857421875e-01,-2.282691192626953125e+02,2.401605987548828125e+02,2.401605987548828125e+02,6.913517415523529053e-02,-1.055908203125000000e-01,3.140274784527719021e-04,1.351555919647216797e+01,-2.466004155576229095e-02,3.241952072130516171e-06,-3.788178443908691406e+00,5.023928824812173843e-03,8.259584865299984813e-05,8.384191896766424179e-04,1.951639771461486816e+00,-6.023587659001350403e-02,5.000000000000000000e-01,-3.112182093900628388e-05,0.000000000000000000e+00
2.092907428741455078e-01,-2.282691192626953125e+02,2.401605987548828125e+02,2.401605987548828125e+02,6.913517415523529053e-02,-1.055908203125000000e-01,3.140274784527719021e-04,1.351555919647216797e+01,-2.466004155576229095e-02,3.241952072130516171e-06,-3.788178443908691406e+00,5.023928824812173843e-03,8.259584865299984813e-05,8.384191896766424179e-04,1.951639771461486816e+00,-6.023587659001350403e-02,5.000000000000000000e-01,-3.112182093900628388e-05,0.000000000000000000e+00
2.092907428741455078e-01,-2.282691192626953125e+02,2.401605987548828125e+02,2.401605987548828125e+02,6.913517415523529053e-02,-1.055908203125000000e-01,3.140274784527719021e-04,1.351555919647216797e+01,-2.466004155576229095e-02,3.241952072130516171e-06,-3.788178443908691406e+00,5.023928824812173843e-03,8.259584865299984813e-05,8.384191896766424179e-04,1.951639771461486816e+00,-6.023587659001350403e-02,5.000000000000000000e-01,-3.112182093900628388e-05,0.000000000000000000e+00
2.092907428741455078e-01,-2.282691192626953125e+02,2.401605987548828125e+02,2.401605987548828125e+02,6.913517415523529053e-02,-1.055908203125000000e-01,3.140274784527719021e-04,1.351555919647216797e+01,-2.466004155576229095e-02,3.241952072130516171e-06,-3.788178443908691406e+00,5.023928824812173843e-03,8.259584865299984813e-05,8.384191896766424179e-04,1.951639771461486816e+00,-6.023587659001350403e-02,5.000000000000000000e-01,-3.112182093900628388e-05,0.000000000000000000e+00
