# Time,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
0.000000000000000000e+00,8.348527908325195312e+00,2.379232330322265625e+02,2.379232330322265625e+02,1.876321136951446533e-01,-3.522186756134033203e+00,2.061792016029357910e-01,5.555679798126220703e+00,-3.427197933197021484e-01,-2.357149423914961517e-05,6.666666865348815918e-01,4.802940040826797485e-02,4.156970317126251757e-05,5.709397606551647186e-03,-3.167653679847717285e-01,1.027627348899841309e+00,1.000000000000000000e+00,7.820939645171165466e-03,0.000000000000000000e+00
1.045818328857421875e-01,8.348527908325195312e+00,2.379232330322265625e+02,2.379232330322265625e+02,1.876321136951446533e-01,-3.522186756134033203e+00,2.061792016029357910e-01,5.555679798126220703e+00,-3.427197933197021484e-01,-2.357149423914961517e-05,6.666666865348815918e-01,4.802940040826797485e-02,4.156970317126251757e-05,5.709397606551647186e-03,-3.167653679847717285e-01,1.027627348899841309e+00,1.000000000000000000e+00,7.820939645171165466e-03,0.000000000000000000e+00
1.045818328857421875e-01,8.348527908325195312e+00,2.379232330322265625e+02,2.379232330322265625e+02,1.876321136951446533e-01,-3.522186756134033203e+00,2.061792016029357910e-01,5.555679798126220703e+00,-3.427197933197021484e-01,-2.357149423914961517e-05,6.666666865348815918e-01,4.802940040826797485e-02,4.156970317126251757e-05,5.709397606551647186e-03,-3.167653679847717285e-01,1.027627348899841309e+00,1.000000000000000000e+00,7.820939645171165466e-03,0.000000000000000000e+00
1.045818328857421875e-01,8.348527908325195312e+00,2.379232330322265625e+02,2.379232330322265625e+02,1.876321136951446533e-01,-3.522186756134033203e+00,2.061792016029357910e-01,5.555679798126220703e+00,-3.427197933197021484e-01,-2.357149423914961517e-05,6.666666865348815918e-01,4.802940040826797485e-02,4.156970317126251757e-05,5.709397606551647186e-03,-3.167653679847717285e-01,1.027627348899841309e+00,1.000000000000000000e+00,7.820939645171165466e-03,0.000000000000000000e+00
1.045818328857421875e-01,8.348527908325195312e+00,2.379232330322265625e+02,2.379232330322265625e+02,1.876321136951446533e-01,-3.522186756134033203e+00,2.061792016029357910e-01,5.555679798126220703e+00,-3.427197933197021484e-01,-2.357149423914961517e-05,6.666666865348815918e-01,4.802940040826797485e-02,4.156970317126251757e-05,5.709397606551647186e-03,-3.167653679847717285e-01,1.027627348899841309e+00,1.000000000000000000e+00,7.820939645171165466e-03,0.000000000000000000e+00
1.045818328857421875e-01,8.348527908325195312e+00,2.379232330322265625e+02,2.379232330322265625e+02,1.876321136951446533e-01,-3.522186756134033203e+00,2.061792016029357910e-01,5.555679798126220703e+00,-3.427197933197021484e-01,-2.357149423914961517e-05,6.666666865348815918e-01,4.802940040826797485e-02,4.156970317126251757e-05,5.709397606551647186e-03,-3.167653679847717285e-01,1.027627348899841309e+00,1.000000000000000000e+00,7.820939645171165466e-03,0.000000000000000000e+00
1.045818328857421875e-01,8.924805641174316406e+00,2.378886413574218750e+02,2.378886413574218750e+02,-2.090720832347869873e-02,-3.455017805099487305e+00,1.884299218654632568e-01,5.710661888122558594e+00,-3.464158177375793457e-01,-4.939209702570224181e-06,1.480123162269592285e+00,-3.529808670282363892e-02,1.779436424840241671e-04,2.203935235738754272e-01,-7.032153010368347168e-01,6.677144169807434082e-01,5.000000000000000000e-01,4.841780755668878555e-03,0.000000000000000000e+00
2.092907428741455078e-01,8.924805641174316406e+00,2.378886413574218750e+02,2.378886413574218750e+02,-2.090720832347869873e-02,-3.455017805099487305e+00,1.884299218654632568e-01,5.710661888122558594e+00,-3.464158177375793457e-01,-4.939209702570224181e-06,1.480123162269592285e+00,-3.529808670282363892e-02,1.779436424840241671e-04,2.203935235738754272e-01,-7.032153010368347168e-01,6.677144169807434082e-01,5.000000000000000000e-01,4.841780755668878555e-03,0.000000000000000000e+00
2.092907428741455078e-01,8.924805641174316406e+00,2.378886413574218750e+02,2.378886413574218750e+02,-2.090720832347869873e-02,-3.455017805099487305e+00,1.884299218654632568e-01,5.710661888122558594e+00,-3.464158177375793457e-01,-4.939209702570224181e-06,1.480123162269592285e+00,-3.529808670282363892e-02,1.779436424840241671e-04,2.203935235738754272e-01,-7.032153010368347168e-01,6.677144169807434082e-01,5.000000000000000000e-01,4.841780755668878555e-03,0.000000000000000000e+00
2.092907428741455078e-01,8.924805641174316406e+00,2.378886413574218750e+02,2.378886413574218750e+02,-2.090720832347869873e-02,-3.455017805099487305e+00,1.884299218654632568e-01,5.710661888122558594e+00,-3.464158177375793457e-01,-4.939209702570224181e-06,1.480123162269592285e+00,-3.529808670282363892e-02,1.779436424840241671e-04,2.203935235738754272e-01,-7.032153010368347168e-01,6.677144169807434082e-01,5.000000000000000000e-01,4.841780755668878555e-03,0.000000000000000000e+00
2.092907428741455078e-01,8.924805641174316406e+00,2.378886413574218750e+02,2.378886413574218750e+02,-2.090720832347869873e-02,-3.455017805099487305e+00,1.884299218654632568e-01,5.710661888122558594e+00,-3.464158177375793457e-01,-4.939209702570224181e-06,1.480123162269592285e+00,-3.529808670282363892e-02,1.779436424840241671e-04,2.203935235738754272e-01,-7.032153010368347168e-01,6.677144169807434082e-01,5.000000000000000000e-01,4.841780755668878555e-03,0.000000000000000000e+00
2.092907428741455078e-01,9.508272171020507812e+00,2.378565521240234375e+02,2.378565521240234375e+02,-6.567226350307464600e-02,-3.215759754180908203e+00,1.909109503030776978e-01,5.684007644653320312e+00,-3.215040564537048340e-01,4.233608251524856314e-06,-3.572065234184265137e-01,3.338546752929687500e-01,1.229294139193370938e-04,-3.269031941890716553e-01,-2.789339303970336914e+00,2.538190364837646484e+00,5.000000000000000000e-01,2.077590674161911011e-02,0.000000000000000000e+00
2.839093208312988281e-01,9.508272171020507812e+00,2.378565521240234375e+02,2.378565521240234375e+02,-6.567226350307464600e-02,-3.215759754180908203e+00,1.909109503030776978e-01,5.684007644653320312e+00,-3.215040564537048340e-01,4.233608251524856314e-06,-3.572065234184265137e-01,3.338546752929687500e-01,1.229294139193370938e-04,-3.269031941890716553e-01,-2.789339303970336914e+00,2.538190364837646484e+00,5.000000000000000000e-01,2.077590674161911011e-02,0.000000000000000000e+00
