# Time,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
0.000000000000000000e+00,8.271680450439453125e+01,1.502684478759765625e+02,1.502684478759765625e+02,-3.631269931793212891e-01,2.345118075609207153e-01,2.854918420780450106e-04,1.421322822570800781e+01,5.820377543568611145e-02,1.394646824337542057e-04,-7.111853361129760742e-02,-7.242780993692576885e-04,1.831174246035516262e-03,4.088266752660274506e-03,-3.357202112674713135e-01,-2.385212806984782219e-03,5.000000000000000000e-01,-7.546941560576669872e-06,0.000000000000000000e+00
1.045818328857421875e-01,8.271680450439453125e+01,1.502684478759765625e+02,1.502684478759765625e+02,-3.631269931793212891e-01,2.345118075609207153e-01,2.854918420780450106e-04,1.421322822570800781e+01,5.820377543568611145e-02,1.394646824337542057e-04,-7.111853361129760742e-02,-7.242780993692576885e-04,1.831174246035516262e-03,4.088266752660274506e-03,-3.357202112674713135e-01,-2.385212806984782219e-03,5.000000000000000000e-01,-7.546941560576669872e-06,0.000000000000000000e+00
1.045818328857421875e-01,8.271680450439453125e+01,1.502684478759765625e+02,1.502684478759765625e+02,-3.631269931793212891e-01,2.345118075609207153e-01,2.854918420780450106e-04,1.421322822570800781e+01,5.820377543568611145e-02,1.394646824337542057e-04,-7.111853361129760742e-02,-7.242780993692576885e-04,1.831174246035516262e-03,4.088266752660274506e-03,-3.357202112674713135e-01,-2.385212806984782219e-03,5.000000000000000000e-01,-7.546941560576669872e-06,0.000000000000000000e+00
1.045818328857421875e-01,8.271680450439453125e+01,1.502684478759765625e+02,1.502684478759765625e+02,-3.631269931793212891e-01,2.345118075609207153e-01,2.854918420780450106e-04,1.421322822570800781e+01,5.820377543568611145e-02,1.394646824337542057e-04,-7.111853361129760742e-02,-7.242780993692576885e-04,1.831174246035516262e-03,4.088266752660274506e-03,-3.357202112674713135e-01,-2.385212806984782219e-03,5.000000000000000000e-01,-7.546941560576669872e-06,0.000000000000000000e+00
1.045818328857421875e-01,8.271680450439453125e+01,1.502684478759765625e+02,1.502684478759765625e+02,-3.631269931793212891e-01,2.345118075609207153e-01,2.854918420780450106e-04,1.421322822570800781e+01,5.820377543568611145e-02,1.394646824337542057e-04,-7.111853361129760742e-02,-7.242780993692576885e-04,1.831174246035516262e-03,4.088266752660274506e-03,-3.357202112674713135e-01,-2.385212806984782219e-03,5.000000000000000000e-01,-7.546941560576669872e-06,0.000000000000000000e+00
1.045818328857421875e-01,8.271680450439453125e+01,1.502684478759765625e+02,1.502684478759765625e+02,-3.631269931793212891e-01,2.345118075609207153e-01,2.854918420780450106e-04,1.421322822570800781e+01,5.820377543568611145e-02,1.394646824337542057e-04,-7.111853361129760742e-02,-7.242780993692576885e-04,1.831174246035516262e-03,4.088266752660274506e-03,-3.357202112674713135e-01,-2.385212806984782219e-03,5.000000000000000000e-01,-7.546941560576669872e-06,0.000000000000000000e+00
1.045818328857421875e-01,8.413223266601562500e+01,1.502742614746093750e+02,1.502742614746093750e+02,-2.446505278348922729e-01,2.344420701265335083e-01,0.000000000000000000e+00,1.410332012176513672e+01,5.771529674530029297e-02,2.582882589194923639e-04,-1.049653768539428711e+00,-4.665110725909471512e-03,1.134799094870686531e-03,8.564973250031471252e-03,-1.382853269577026367e+00,-1.531293382868170738e-04,5.000000000000000000e-01,1.562138436383975204e-06,0.000000000000000000e+00
2.092907428741455078e-01,8.413223266601562500e+01,1.502742614746093750e+02,1.502742614746093750e+02,-2.446505278348922729e-01,2.344420701265335083e-01,0.000000000000000000e+00,1.410332012176513672e+01,5.771529674530029297e-02,2.582882589194923639e-04,-1.049653768539428711e+00,-4.665110725909471512e-03,1.134799094870686531e-03,8.564973250031471252e-03,-1.382853269577026367e+00,-1.531293382868170738e-04,5.000000000000000000e-01,1.562138436383975204e-06,0.000000000000000000e+00
2.092907428741455078e-01,8.413223266601562500e+01,1.502742614746093750e+02,1.502742614746093750e+02,-2.446505278348922729e-01,2.344420701265335083e-01,0.000000000000000000e+00,1.410332012176513672e+01,5.771529674530029297e-02,2.582882589194923639e-04,-1.049653768539428711e+00,-4.665110725909471512e-03,1.134799094870686531e-03,8.564973250031471252e-03,-1.382853269577026367e+00,-1.531293382868170738e-04,5.000000000000000000e-01,1.562138436383975204e-06,0.000000000000000000e+00
2.092907428741455078e-01,8.413223266601562500e+01,1.502742614746093750e+02,1.502742614746093750e+02,-2.446505278348922729e-01,2.344420701265335083e-01,0.000000000000000000e+00,1.410332012176513672e+01,5.771529674530029297e-02,2.582882589194923639e-04,-1.049653768539428711e+00,-4.665110725909471512e-03,1.134799094870686531e-03,8.564973250031471252e-03,-1.382853269577026367e+00,-1.531293382868170738e-04,5.000000000000000000e-01,1.562138436383975204e-06,0.000000000000000000e+00
