# Time,VehicleID,EGO,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
0.000000000000000000e+00,9.700000000000000000e+01,0.000000000000000000e+00,6.562175903320312500e+02,2.453281974792480469e+01,2.453281974792480469e+01,9.351894259452819824e-02,-1.071556701660156250e+02,2.123846113681793213e-01,-3.438649415969848633e+00,-1.107856750488281250e+01,-2.078780380543321371e-05,-7.870651483535766602e-01,-2.314436674118041992e+00,-8.876201900420710444e-05,-8.959407210350036621e-01,-4.715732038021087646e-01,-3.489515185356140137e-01,1.000000000000000000e+00,-2.443790435791015625e-03,0.000000000000000000e+00
3.123569488525390625e-02,9.700000000000000000e+01,0.000000000000000000e+00,6.560747680664062500e+02,2.407180595397949219e+01,2.407180595397949219e+01,1.236059293150901794e-01,-1.071730270385742188e+02,1.837983876466751099e-01,-3.497428417205810547e+00,-1.125303554534912109e+01,-3.065642522415146232e-05,-1.881789565086364746e+00,-5.585534095764160156e+00,-3.159405314363539219e-04,-8.809923529624938965e-01,-4.196581840515136719e-01,-4.526233375072479248e-01,1.000000000000000000e+00,-2.478790236636996269e-03,0.000000000000000000e+00
3.123569488525390625e-02,9.700000000000000000e+01,0.000000000000000000e+00,6.560747680664062500e+02,2.407180595397949219e+01,2.407180595397949219e+01,1.236059293150901794e-01,-1.071730270385742188e+02,1.837983876466751099e-01,-3.497428417205810547e+00,-1.125303554534912109e+01,-3.065642522415146232e-05,-1.881789565086364746e+00,-5.585534095764160156e+00,-3.159405314363539219e-04,-8.809923529624938965e-01,-4.196581840515136719e-01,-4.526233375072479248e-01,1.000000000000000000e+00,-2.478790236636996269e-03,0.000000000000000000e+00
6.454372406005859375e-02,9.700000000000000000e+01,0.000000000000000000e+00,6.559642333984375000e+02,2.371716690063476562e+01,2.371716690063476562e+01,1.453805714845657349e-01,-1.072033538818359375e+02,1.722541749477386475e-01,-3.565284729003906250e+00,-1.137512302398681641e+01,-3.781681516557000577e-05,-2.037235975265502930e+00,-3.665406942367553711e+00,-2.149748906958848238e-04,-7.390072941780090332e-01,-8.272312581539154053e-02,-1.123636603355407715e+00,1.000000000000000000e+00,-1.082000695168972015e-02,0.000000000000000000e+00
6.454372406005859375e-02,9.700000000000000000e+01,0.000000000000000000e+00,6.559642333984375000e+02,2.371716690063476562e+01,2.371716690063476562e+01,1.453805714845657349e-01,-1.072033538818359375e+02,1.722541749477386475e-01,-3.565284729003906250e+00,-1.137512302398681641e+01,-3.781681516557000577e-05,-2.037235975265502930e+00,-3.665406942367553711e+00,-2.149748906958848238e-04,-7.390072941780090332e-01,-8.272312581539154053e-02,-1.123636603355407715e+00,1.000000000000000000e+00,-1.082000695168972015e-02,0.000000000000000000e+00
6.454372406005859375e-02,9.700000000000000000e+01,0.000000000000000000e+00,6.559642333984375000e+02,2.371716690063476562e+01,2.371716690063476562e+01,1.453805714845657349e-01,-1.072033538818359375e+02,1.722541749477386475e-01,-3.565284729003906250e+00,-1.137512302398681641e+01,-3.781681516557000577e-05,-2.037235975265502930e+00,-3.665406942367553711e+00,-2.149748906958848238e-04,-7.390072941780090332e-01,-8.272312581539154053e-02,-1.123636603355407715e+00,1.000000000000000000e+00,-1.082000695168972015e-02,0.000000000000000000e+00
9.523081779479980469e-02,9.700000000000000000e+01,0.000000000000000000e+00,6.558443603515625000e+02,2.333469200134277344e+01,2.333469200134277344e+01,1.665609776973724365e-01,-1.072551727294921875e+02,1.660784184932708740e-01,-3.630815744400024414e+00,-1.150540637969970703e+01,-4.306076152715831995e-05,-2.135458469390869141e+00,-4.245542526245117188e+00,-1.708844356471672654e-04,-6.374883651733398438e-01,2.779943495988845825e-02,-1.683063268661499023e+00,1.000000000000000000e+00,-1.131334342062473297e-02,0.000000000000000000e+00
9.523081779479980469e-02,9.700000000000000000e+01,0.000000000000000000e+00,6.558443603515625000e+02,2.333469200134277344e+01,2.333469200134277344e+01,1.665609776973724365e-01,-1.072551727294921875e+02,1.660784184932708740e-01,-3.630815744400024414e+00,-1.150540637969970703e+01,-4.306076152715831995e-05,-2.135458469390869141e+00,-4.245542526245117188e+00,-1.708844356471672654e-04,-6.374883651733398438e-01,2.779943495988845825e-02,-1.683063268661499023e+00,1.000000000000000000e+00,-1.131334342062473297e-02,0.000000000000000000e+00
9.523081779479980469e-02,9.700000000000000000e+01,0.000000000000000000e+00,6.556198120117187500e+02,2.262292671203613281e+01,2.262292671203613281e+01,1.983486860990524292e-01,-1.073861923217773438e+02,1.583930253982543945e-01,-3.742666959762573242e+00,-1.174159717559814453e+01,-4.698993870988488197e-05,-1.730821847915649414e+00,-3.682061195373535156e+00,1.201492068503284827e-05,-4.850333034992218018e-01,2.656307443976402283e-02,-2.381615638732910156e+00,1.000000000000000000e+00,-1.171665173023939133e-02,0.000000000000000000e+00
1.573028564453125000e-01,9.700000000000000000e+01,0.000000000000000000e+00,6.556198120117187500e+02,2.262292671203613281e+01,2.262292671203613281e+01,1.983486860990524292e-01,-1.073861923217773438e+02,1.583930253982543945e-01,-3.742666959762573242e+00,-1.174159717559814453e+01,-4.698993870988488197e-05,-1.730821847915649414e+00,-3.682061195373535156e+00,1.201492068503284827e-05,-4.850333034992218018e-01,2.656307443976402283e-02,-2.381615638732910156e+00,1.000000000000000000e+00,-1.171665173023939133e-02,0.000000000000000000e+00
