# Time,VehicleID,EGO,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
0.000000000000000000e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.203995323181152344e+01,-7.374617767333984375e+01,-7.374617767333984375e+01,2.176098152995109558e-02,9.038251495361328125e+01,1.274107198696583509e-04,-3.864454478025436401e-02,5.790438652038574219e+00,1.334957914878032170e-06,-1.849237456917762756e-02,2.760767936706542969e+00,-8.233671451307600364e-07,3.609191179275512695e-01,3.435005899518728256e-03,2.312246244400739670e-03,5.000000000000000000e-01,-2.861023062905587722e-07,0.000000000000000000e+00
0.000000000000000000e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.204220676422119141e+01,-7.340835571289062500e+01,-7.340835571289062500e+01,3.841981291770935059e-02,9.038261413574218750e+01,7.009783439571037889e-05,-3.902531415224075317e-02,5.847764968872070312e+00,-2.183597871407982893e-06,-4.954221192747354507e-03,7.458773255348205566e-01,-4.578021253109909594e-05,2.328246533870697021e-01,2.567307325080037117e-03,1.264896825887262821e-03,5.000000000000000000e-01,-3.337860107421875000e-06,0.000000000000000000e+00
7.685756683349609375e-02,9.700000000000000000e+01,0.000000000000000000e+00,-1.204220676422119141e+01,-7.340835571289062500e+01,-7.340835571289062500e+01,3.841981291770935059e-02,9.038261413574218750e+01,7.009783439571037889e-05,-3.902531415224075317e-02,5.847764968872070312e+00,-2.183597871407982893e-06,-4.954221192747354507e-03,7.458773255348205566e-01,-4.578021253109909594e-05,2.328246533870697021e-01,2.567307325080037117e-03,1.264896825887262821e-03,5.000000000000000000e-01,-3.337860107421875000e-06,0.000000000000000000e+00
7.685756683349609375e-02,9.700000000000000000e+01,0.000000000000000000e+00,-1.204220676422119141e+01,-7.340835571289062500e+01,-7.340835571289062500e+01,3.841981291770935059e-02,9.038261413574218750e+01,7.009783439571037889e-05,-3.902531415224075317e-02,5.847764968872070312e+00,-2.183597871407982893e-06,-4.954221192747354507e-03,7.458773255348205566e-01,-4.578021253109909594e-05,2.328246533870697021e-01,2.567307325080037117e-03,1.264896825887262821e-03,5.000000000000000000e-01,-3.337860107421875000e-06,0.000000000000000000e+00
1.165697574615478516e-01,9.700000000000000000e+01,0.000000000000000000e+00,-1.204521465301513672e+01,-7.295749664306640625e+01,-7.295749664306640625e+01,4.679362475872039795e-02,9.038262176513671875e+01,1.751570562191773206e-05,-3.917719423770904541e-02,5.870300769805908203e+00,-2.908259602918406017e-06,-3.824520390480756760e-03,5.674781799316406250e-01,-1.824784158088732511e-05,2.801629342138767242e-02,6.559055764228105545e-04,-8.689773676451295614e-05,5.000000000000000000e-01,-4.863738922722404823e-06,0.000000000000000000e+00
1.524837017059326172e-01,9.700000000000000000e+01,0.000000000000000000e+00,-1.204677009582519531e+01,-7.272450256347656250e+01,-7.272450256347656250e+01,4.553003981709480286e-02,9.038261413574218750e+01,5.951404091320000589e-06,-3.913772106170654297e-02,5.864426612854003906e+00,-5.053804557064722758e-07,1.099104410968720913e-03,-1.635620146989822388e-01,6.690657755825668573e-05,-5.914829298853874207e-02,-2.092130889650434256e-04,-4.385488573461771011e-04,5.000000000000000000e-01,-5.531311217055190355e-06,0.000000000000000000e+00
1.524837017059326172e-01,9.700000000000000000e+01,0.000000000000000000e+00,-1.204677009582519531e+01,-7.272450256347656250e+01,-7.272450256347656250e+01,4.553003981709480286e-02,9.038261413574218750e+01,5.951404091320000589e-06,-3.913772106170654297e-02,5.864426612854003906e+00,-5.053804557064722758e-07,1.099104410968720913e-03,-1.635620146989822388e-01,6.690657755825668573e-05,-5.914829298853874207e-02,-2.092130889650434256e-04,-4.385488573461771011e-04,5.000000000000000000e-01,-5.531311217055190355e-06,0.000000000000000000e+00
1.857297420501708984e-01,9.700000000000000000e+01,0.000000000000000000e+00,-1.204817485809326172e+01,-7.251419830322265625e+01,-7.251419830322265625e+01,4.196467995643615723e-02,9.038261413574218750e+01,6.550045782205415890e-06,-3.905619680881500244e-02,5.852167606353759766e+00,-6.770276854695111979e-07,2.452149288728833199e-03,-3.687358200550079346e-01,-5.162937668501399457e-06,-1.179811879992485046e-01,-8.942725253291428089e-04,-9.219408384524285793e-04,5.000000000000000000e-01,-5.245208740234375000e-06,0.000000000000000000e+00
1.857297420501708984e-01,9.700000000000000000e+01,0.000000000000000000e+00,-1.204817485809326172e+01,-7.251419830322265625e+01,-7.251419830322265625e+01,4.196467995643615723e-02,9.038261413574218750e+01,6.550045782205415890e-06,-3.905619680881500244e-02,5.852167606353759766e+00,-6.770276854695111979e-07,2.452149288728833199e-03,-3.687358200550079346e-01,-5.162937668501399457e-06,-1.179811879992485046e-01,-8.942725253291428089e-04,-9.219408384524285793e-04,5.000000000000000000e-01,-5.245208740234375000e-06,0.000000000000000000e+00
1.857297420501708984e-01,9.700000000000000000e+01,0.000000000000000000e+00,-1.204946994781494141e+01,-7.232006835937500000e+01,-7.232006835937500000e+01,3.676007688045501709e-02,9.038254547119140625e+01,1.390383931720862165e-05,-3.894824162125587463e-02,5.836341857910156250e+00,-6.483907100118813105e-07,2.969627035781741142e-03,-4.353340864181518555e-01,7.877447956161631737e-07,-1.650743782520294189e-01,-1.380341127514839172e-03,-1.357269939035177231e-03,5.000000000000000000e-01,-5.722045898437500000e-06,0.000000000000000000e+00
