# Time,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
0.000000000000000000e+00,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-7.671797419561698916e-09,4.201016068350327259e-08,1.405231188982725143e-03,7.376421251592546469e-08,-1.033098726566095138e-07,1.448863279074430466e-02,3.231878508813679218e-05,5.523390882444800809e-06,2.986997316156703164e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
1.045818328857421875e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-7.671797419561698916e-09,4.201016068350327259e-08,1.405231188982725143e-03,7.376421251592546469e-08,-1.033098726566095138e-07,1.448863279074430466e-02,3.231878508813679218e-05,5.523390882444800809e-06,2.986997316156703164e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
1.045818328857421875e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-7.671797419561698916e-09,4.201016068350327259e-08,1.405231188982725143e-03,7.376421251592546469e-08,-1.033098726566095138e-07,1.448863279074430466e-02,3.231878508813679218e-05,5.523390882444800809e-06,2.986997316156703164e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
1.045818328857421875e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-7.671797419561698916e-09,4.201016068350327259e-08,1.405231188982725143e-03,7.376421251592546469e-08,-1.033098726566095138e-07,1.448863279074430466e-02,3.231878508813679218e-05,5.523390882444800809e-06,2.986997316156703164e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
1.045818328857421875e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-7.671797419561698916e-09,4.201016068350327259e-08,1.405231188982725143e-03,7.376421251592546469e-08,-1.033098726566095138e-07,1.448863279074430466e-02,3.231878508813679218e-05,5.523390882444800809e-06,2.986997316156703164e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
1.045818328857421875e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-7.671797419561698916e-09,4.201016068350327259e-08,1.405231188982725143e-03,7.376421251592546469e-08,-1.033098726566095138e-07,1.448863279074430466e-02,3.231878508813679218e-05,5.523390882444800809e-06,2.986997316156703164e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
1.045818328857421875e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-2.086462380646025849e-08,-2.542000387961707020e-08,-1.089048106223344803e-03,-1.259952568943845108e-07,-6.439773301281093154e-07,-2.382107824087142944e-02,-1.210235222970368341e-05,1.456348036299459636e-05,-5.789486667850951562e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
2.092907428741455078e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-2.086462380646025849e-08,-2.542000387961707020e-08,-1.089048106223344803e-03,-1.259952568943845108e-07,-6.439773301281093154e-07,-2.382107824087142944e-02,-1.210235222970368341e-05,1.456348036299459636e-05,-5.789486667850951562e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
2.092907428741455078e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-2.086462380646025849e-08,-2.542000387961707020e-08,-1.089048106223344803e-03,-1.259952568943845108e-07,-6.439773301281093154e-07,-2.382107824087142944e-02,-1.210235222970368341e-05,1.456348036299459636e-05,-5.789486667850951562e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
2.092907428741455078e-01,-2.868841171264648438e+01,4.190985107421875000e+01,4.190985107421875000e+01,5.464151035994291306e-05,-2.160339206457138062e-01,-3.051757266803178936e-05,-2.086462380646025849e-08,-2.542000387961707020e-08,-1.089048106223344803e-03,-1.259952568943845108e-07,-6.439773301281093154e-07,-2.382107824087142944e-02,-1.210235222970368341e-05,1.456348036299459636e-05,-5.789486667850951562e-09,0.000000000000000000e+00,9.042020887136459351e-03,1.000000000000000000e+00
