# Time,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
0.000000000000000000e+00,-2.475102691650390625e+02,1.972595672607421875e+02,1.972595672607421875e+02,-1.431607548147439957e-02,9.000685882568359375e+01,-4.516601096838712692e-03,-1.232657860964536667e-02,5.576545238494873047e+00,-7.437608360305603128e-07,-8.851345628499984741e-03,1.458796143531799316e+00,4.558524778985884041e-06,2.717705965042114258e-01,-4.227026831358671188e-03,3.245730400085449219e-01,1.000000000000000000e+00,2.916172612458467484e-03,0.000000000000000000e+00
1.045818328857421875e-01,-2.475102691650390625e+02,1.972595672607421875e+02,1.972595672607421875e+02,-1.431607548147439957e-02,9.000685882568359375e+01,-4.516601096838712692e-03,-1.232657860964536667e-02,5.576545238494873047e+00,-7.437608360305603128e-07,-8.851345628499984741e-03,1.458796143531799316e+00,4.558524778985884041e-06,2.717705965042114258e-01,-4.227026831358671188e-03,3.245730400085449219e-01,1.000000000000000000e+00,2.916172612458467484e-03,0.000000000000000000e+00
1.045818328857421875e-01,-2.475102691650390625e+02,1.972595672607421875e+02,1.972595672607421875e+02,-1.431607548147439957e-02,9.000685882568359375e+01,-4.516601096838712692e-03,-1.232657860964536667e-02,5.576545238494873047e+00,-7.437608360305603128e-07,-8.851345628499984741e-03,1.458796143531799316e+00,4.558524778985884041e-06,2.717705965042114258e-01,-4.227026831358671188e-03,3.245730400085449219e-01,1.000000000000000000e+00,2.916172612458467484e-03,0.000000000000000000e+00
1.045818328857421875e-01,-2.475102691650390625e+02,1.972595672607421875e+02,1.972595672607421875e+02,-1.431607548147439957e-02,9.000685882568359375e+01,-4.516601096838712692e-03,-1.232657860964536667e-02,5.576545238494873047e+00,-7.437608360305603128e-07,-8.851345628499984741e-03,1.458796143531799316e+00,4.558524778985884041e-06,2.717705965042114258e-01,-4.227026831358671188e-03,3.245730400085449219e-01,1.000000000000000000e+00,2.916172612458467484e-03,0.000000000000000000e+00
1.045818328857421875e-01,-2.475102691650390625e+02,1.972595672607421875e+02,1.972595672607421875e+02,-1.431607548147439957e-02,9.000685882568359375e+01,-4.516601096838712692e-03,-1.232657860964536667e-02,5.576545238494873047e+00,-7.437608360305603128e-07,-8.851345628499984741e-03,1.458796143531799316e+00,4.558524778985884041e-06,2.717705965042114258e-01,-4.227026831358671188e-03,3.245730400085449219e-01,1.000000000000000000e+00,2.916172612458467484e-03,0.000000000000000000e+00
1.045818328857421875e-01,-2.475102691650390625e+02,1.972595672607421875e+02,1.972595672607421875e+02,-1.431607548147439957e-02,9.000685882568359375e+01,-4.516601096838712692e-03,-1.232657860964536667e-02,5.576545238494873047e+00,-7.437608360305603128e-07,-8.851345628499984741e-03,1.458796143531799316e+00,4.558524778985884041e-06,2.717705965042114258e-01,-4.227026831358671188e-03,3.245730400085449219e-01,1.000000000000000000e+00,2.916172612458467484e-03,0.000000000000000000e+00
1.045818328857421875e-01,-2.475110931396484375e+02,1.978330688476562500e+02,1.978330688476562500e+02,2.756664156913757324e-02,9.004032135009765625e+01,-3.417968051508069038e-03,-1.274831593036651611e-02,5.792941093444824219e+00,9.725856671138899401e-07,-4.027711693197488785e-03,2.066642045974731445e+00,1.639159927435684949e-05,3.287425935268402100e-01,-8.377740741707384586e-04,3.002762496471405029e-01,5.000000000000000000e-01,2.143096877261996269e-03,0.000000000000000000e+00
2.092907428741455078e-01,-2.475110931396484375e+02,1.978330688476562500e+02,1.978330688476562500e+02,2.756664156913757324e-02,9.004032135009765625e+01,-3.417968051508069038e-03,-1.274831593036651611e-02,5.792941093444824219e+00,9.725856671138899401e-07,-4.027711693197488785e-03,2.066642045974731445e+00,1.639159927435684949e-05,3.287425935268402100e-01,-8.377740741707384586e-04,3.002762496471405029e-01,5.000000000000000000e-01,2.143096877261996269e-03,0.000000000000000000e+00
2.092907428741455078e-01,-2.475110931396484375e+02,1.978330688476562500e+02,1.978330688476562500e+02,2.756664156913757324e-02,9.004032135009765625e+01,-3.417968051508069038e-03,-1.274831593036651611e-02,5.792941093444824219e+00,9.725856671138899401e-07,-4.027711693197488785e-03,2.066642045974731445e+00,1.639159927435684949e-05,3.287425935268402100e-01,-8.377740741707384586e-04,3.002762496471405029e-01,5.000000000000000000e-01,2.143096877261996269e-03,0.000000000000000000e+00
2.092907428741455078e-01,-2.475110931396484375e+02,1.978330688476562500e+02,1.978330688476562500e+02,2.756664156913757324e-02,9.004032135009765625e+01,-3.417968051508069038e-03,-1.274831593036651611e-02,5.792941093444824219e+00,9.725856671138899401e-07,-4.027711693197488785e-03,2.066642045974731445e+00,1.639159927435684949e-05,3.287425935268402100e-01,-8.377740741707384586e-04,3.002762496471405029e-01,5.000000000000000000e-01,2.143096877261996269e-03,0.000000000000000000e+00
