# Time,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
0.000000000000000000e+00,5.233509521484375000e+02,1.520746612548828125e+02,1.520746612548828125e+02,4.047569930553436279e-01,2.396115362644195557e-01,-1.141357235610485077e-02,1.475221252441406250e+01,6.131063401699066162e-02,1.058428779288078658e-06,-1.596542149782180786e-01,-5.341662093997001648e-03,-3.555534476618049666e-06,2.463077427819371223e-03,1.580465771257877350e-02,-2.401300147175788879e-02,5.000000000000000000e-01,-1.088557473849505186e-04,0.000000000000000000e+00
1.045818328857421875e-01,5.233509521484375000e+02,1.520746612548828125e+02,1.520746612548828125e+02,4.047569930553436279e-01,2.396115362644195557e-01,-1.141357235610485077e-02,1.475221252441406250e+01,6.131063401699066162e-02,1.058428779288078658e-06,-1.596542149782180786e-01,-5.341662093997001648e-03,-3.555534476618049666e-06,2.463077427819371223e-03,1.580465771257877350e-02,-2.401300147175788879e-02,5.000000000000000000e-01,-1.088557473849505186e-04,0.000000000000000000e+00
1.045818328857421875e-01,5.233509521484375000e+02,1.520746612548828125e+02,1.520746612548828125e+02,4.047569930553436279e-01,2.396115362644195557e-01,-1.141357235610485077e-02,1.475221252441406250e+01,6.131063401699066162e-02,1.058428779288078658e-06,-1.596542149782180786e-01,-5.341662093997001648e-03,-3.555534476618049666e-06,2.463077427819371223e-03,1.580465771257877350e-02,-2.401300147175788879e-02,5.000000000000000000e-01,-1.088557473849505186e-04,0.000000000000000000e+00
1.045818328857421875e-01,5.233509521484375000e+02,1.520746612548828125e+02,1.520746612548828125e+02,4.047569930553436279e-01,2.396115362644195557e-01,-1.141357235610485077e-02,1.475221252441406250e+01,6.131063401699066162e-02,1.058428779288078658e-06,-1.596542149782180786e-01,-5.341662093997001648e-03,-3.555534476618049666e-06,2.463077427819371223e-03,1.580465771257877350e-02,-2.401300147175788879e-02,5.000000000000000000e-01,-1.088557473849505186e-04,0.000000000000000000e+00
1.045818328857421875e-01,5.233509521484375000e+02,1.520746612548828125e+02,1.520746612548828125e+02,4.047569930553436279e-01,2.396115362644195557e-01,-1.141357235610485077e-02,1.475221252441406250e+01,6.131063401699066162e-02,1.058428779288078658e-06,-1.596542149782180786e-01,-5.341662093997001648e-03,-3.555534476618049666e-06,2.463077427819371223e-03,1.580465771257877350e-02,-2.401300147175788879e-02,5.000000000000000000e-01,-1.088557473849505186e-04,0.000000000000000000e+00
1.045818328857421875e-01,5.233509521484375000e+02,1.520746612548828125e+02,1.520746612548828125e+02,4.047569930553436279e-01,2.396115362644195557e-01,-1.141357235610485077e-02,1.475221252441406250e+01,6.131063401699066162e-02,1.058428779288078658e-06,-1.596542149782180786e-01,-5.341662093997001648e-03,-3.555534476618049666e-06,2.463077427819371223e-03,1.580465771257877350e-02,-2.401300147175788879e-02,5.000000000000000000e-01,-1.088557473849505186e-04,0.000000000000000000e+00
1.045818328857421875e-01,5.248251342773437500e+02,1.520807647705078125e+02,1.520807647705078125e+02,4.034250974655151367e-01,2.372279018163681030e-01,-1.162719633430242538e-02,1.473311233520507812e+01,6.071824580430984497e-02,1.849819796007068362e-06,-1.824122518301010132e-01,-5.657476373016834259e-03,7.558010111097246408e-06,1.786431646905839443e-03,1.119318325072526932e-02,-2.364205569028854370e-02,5.000000000000000000e-01,-9.586704982211813331e-05,0.000000000000000000e+00
2.092907428741455078e-01,5.248251342773437500e+02,1.520807647705078125e+02,1.520807647705078125e+02,4.034250974655151367e-01,2.372279018163681030e-01,-1.162719633430242538e-02,1.473311233520507812e+01,6.071824580430984497e-02,1.849819796007068362e-06,-1.824122518301010132e-01,-5.657476373016834259e-03,7.558010111097246408e-06,1.786431646905839443e-03,1.119318325072526932e-02,-2.364205569028854370e-02,5.000000000000000000e-01,-9.586704982211813331e-05,0.000000000000000000e+00
2.092907428741455078e-01,5.248251342773437500e+02,1.520807647705078125e+02,1.520807647705078125e+02,4.034250974655151367e-01,2.372279018163681030e-01,-1.162719633430242538e-02,1.473311233520507812e+01,6.071824580430984497e-02,1.849819796007068362e-06,-1.824122518301010132e-01,-5.657476373016834259e-03,7.558010111097246408e-06,1.786431646905839443e-03,1.119318325072526932e-02,-2.364205569028854370e-02,5.000000000000000000e-01,-9.586704982211813331e-05,0.000000000000000000e+00
2.092907428741455078e-01,5.248251342773437500e+02,1.520807647705078125e+02,1.520807647705078125e+02,4.034250974655151367e-01,2.372279018163681030e-01,-1.162719633430242538e-02,1.473311233520507812e+01,6.071824580430984497e-02,1.849819796007068362e-06,-1.824122518301010132e-01,-5.657476373016834259e-03,7.558010111097246408e-06,1.786431646905839443e-03,1.119318325072526932e-02,-2.364205569028854370e-02,5.000000000000000000e-01,-9.586704982211813331e-05,0.000000000000000000e+00
2.092907428741455078e-01,5.248251342773437500e+02,1.520807647705078125e+02,1.520807647705078125e+02,4.034250974655151367e-01,2.372279018163681030e-01,-1.162719633430242538e-02,1.473311233520507812e+01,6.071824580430984497e-02,1.849819796007068362e-06,-1.824122518301010132e-01,-5.657476373016834259e-03,7.558010111097246408e-06,1.786431646905839443e-03,1.119318325072526932e-02,-2.364205569028854370e-02,5.000000000000000000e-01,-9.586704982211813331e-05,0.000000000000000000e+00
2.092907428741455078e-01,5.262973632812500000e+02,1.520868225097656250e+02,1.520868225097656250e+02,4.025166928768157959e-01,2.351174503564834595e-01,-1.174926664680242538e-02,1.471444988250732422e+01,6.018267199397087097e-02,6.674607675449806266e-07,-2.501046359539031982e-01,-7.177486084401607513e-03,-1.584537130838725716e-05,9.890130022540688515e-04,7.698127068579196930e-03,-1.992840133607387543e-02,5.000000000000000000e-01,-7.926118996692821383e-05,0.000000000000000000e+00
2.839093208312988281e-01,5.262973632812500000e+02,1.520868225097656250e+02,1.520868225097656250e+02,4.025166928768157959e-01,2.351174503564834595e-01,-1.174926664680242538e-02,1.471444988250732422e+01,6.018267199397087097e-02,6.674607675449806266e-07,-2.501046359539031982e-01,-7.177486084401607513e-03,-1.584537130838725716e-05,9.890130022540688515e-04,7.698127068579196930e-03,-1.992840133607387543e-02,5.000000000000000000e-01,-7.926118996692821383e-05,0.000000000000000000e+00
